unique_code,last_balance_snapshot,last_transaction_date,userid
2101A05C71,4.91,26/11/2024,20851
2401463281,,,
240114B191,,,
2308DE9450,,,
2006B2FA18,377.9,26/08/2024,40969
23092A0238,,,
2312661745,,,
2006F92798,44.55,20/05/2024,39879
2109C32112,1.81,4/2/2024,87367
2408528B87,,,
230381D890,,,
2012E09D18,6842.95,11/7/2024,58194
2407E5BF88,,,
22080C3F93,,,
20018E5F59,,,
2006B89914,101.98,23/11/2024,39353
18071FCF52,,,
2401ABEC61,,,
2307B53971,,,
2406D91424,,,
1801C17D80,107.33,21/08/2024,6191
2209BF6F93,,,
2201AB7728,,,
1801459059,,,
24080A0A84,,,
1901572740,172.62,21/03/2024,17969
2302727727,,,
23088FE811,,,
2311075B84,,,
2309EAFA89,,,
200449D380,402.44,18/11/2024,33047
1805979634,,,
2.01E+79,,,45513
2206F2E737,,,
2011FA1967,637.32,20/07/2024,55192
24073E2C23,124,8/10/2024,173703
1912AE8A62,,,
230552AE38,,,
2407846C30,,,
1907564559,7061.12,28/11/2024,17065
2002024874,200.56,15/11/2024,28475
2310EA9584,,,
24036EFE14,,,
2106C4A399,,,
2002513A72,20325.35,24/11/2024,28303
2311C77533,,,
1810F03B92,34.41,31/08/2024,14533
2307975661,,,
2307CCEB62,,,
22013D1881,,,
231018AC55,,,
23102C1E99,,,
23071A3411,,,
1910835F94,,,
2203394984,,,
21084E1F67,,,
2405DCF556,,,
2004EE6695,66.45,26/11/2024,35482
2305BBB713,,,
1902ADDD29,40241.72,27/11/2024,17862
2310E4BB80,,,
18107F5E48,1273.38,10/8/2024,14556
2207E31580,,,
23098E5055,,,
2305D67F32,,,
2.01E+71,,,22174
230964CD92,,,
2310673991,,,
1806E1B943,,,
2212723A20,,,
230771DE26,,,
2408B8D691,,,
2201C4E563,,,
22096C4953,,,
23013FDB70,,,
2309B1CF99,,,
1807132C88,,,
2008A47A58,318.64,28/08/2024,46690
2107EA0836,5618.82,27/11/2024,82080
2402239468,,,
22105DE437,,,
2303059920,,,
2101455442,,,
2305837880,,,
2110C41323,,,
22046FFA42,,,
18030FD863,54.16,15/01/2024,8041
1901B5D277,,,
2307C12248,,,
1808F8B282,9647.35,7/11/2024,13281
23057D4E62,,,
2102846A86,5083.94,28/11/2024,62988
2.10E+42,,,
180105D727,,,
18056A7C54,,,
1808D42A37,2.34,19/11/2024,13204
2001365389,579.16,14/09/2024,27773
19061C4F19,23.8,8/11/2024,20964
2011FFBF87,,,
22076D6D64,,,
2005FC9061,24938.78,29/10/2024,37795
2210537A66,,,
1908EAD036,,,
1805496367,,,
2308B49023,,,
1812A7A298,147.07,19/07/2024,16491
1804333677,,,
21028F2A47,7525.27,27/11/2024,62865
2204D50639,,,
2401F07C57,,,
20106EC996,638.15,11/7/2024,52984
200558BD91,531.1,11/7/2024,38775
18056AE097,,,
211281AB26,,,
2405618626,,,
210491D332,,,
2105FFE695,60,24/10/2024,76250
2406076B27,,,
230673C256,,,
2401B06F18,,,
2307A2A524,,,
20018A6B42,,,
230842D759,,,
2312CF3388,,,
23091F6138,,,
2305572034,,,
2305D79214,,,
1805FA0236,,,
